GRAM5_NEGATIVE_CONTROL_OK new axiom: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_NEGATIVE_CONTROL_OK axiom only in proof body: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_NEGATIVE_CONTROL_OK missing proof dependency: missing raw dependency: Gram5AuditNegative.doesNotExist
GRAM5_NEGATIVE_CONTROL_OK standard name with altered type: nonstandard axiom type: propext
GRAM5_NEGATIVE_CONTROL_OK standard name with altered universe arity: unexpected axiom or universe arity: propext
GRAM5_NEGATIVE_CONTROL_OK excluded declaration safety Lean.DefinitionSafety.unsafe: unsafe or partial dependency: Gram5AuditNegative.operationalRoot
GRAM5_NEGATIVE_CONTROL_OK excluded declaration safety Lean.DefinitionSafety.partial: unsafe or partial dependency: Gram5AuditNegative.operationalRoot
GRAM5_NEGATIVE_CONTROL_OK every expression-bearing syntax position was traversed
GRAM5_NEGATIVE_CONTROL_OK altered stored theorem body is detected by exact comparison
GRAM5_NEGATIVE_CONTROL_OK stored theorem with changed type: stored theorem differs in non-body fields
GRAM5_NEGATIVE_CONTROL_OK stored theorem replaced by an axiom: stored declaration differs outside the theorem-body case
GRAM5_NEGATIVE_CONTROL_OK stored proof refers back to its original name: stored theorem variant depends on its original name: Gram5AuditNegative.circularStoredVariant
GRAM5_NEGATIVE_CONTROL_OK new axiom in an alternate stored proof: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_PROJECT_MODULE PBCounterexample.Basic records=41
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_11
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_20
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_13
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_15
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_7
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_9
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem PBCounterexample.Gram5.low_weight_kernel_formula
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_18
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_10
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem PBCounterexample.Gram5.isExceptional_of_value_derivative_zero
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_21
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_14
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_3
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_19
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_17
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_2
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem PBCounterexample.Gram5.eval_lowMonomial
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_5
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_12
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_6
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel definition PBCounterexample.Gram5.IsExceptional
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_4
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_8
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.single_monomial_zero
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.low_weight_kernel_of_formula
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel definition _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.splitter
GRAM5_PROJECT_DECL PBCounterexample.Gram5WeightedKernel theorem _private.PBCounterexample.Gram5WeightedKernel.0.PBCounterexample.Gram5.lowExponentTuple.match_1.eq_16
GRAM5_PROJECT_MODULE PBCounterexample.Gram5Implicit records=35
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.normalScale
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.targetScale.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.hasDerivAt_implicitResidual_vertical_line
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalDerivative_isInvertible
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.normalScale.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.normalScale_zero
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.signedNormal.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.implicitResidual.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.targetScale._proof_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.verticalDerivative
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.exists_implicitCorrection._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.CorrectionCoord
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.contDiff_implicitResidual
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalDerivative_apply
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.targetScale_pos
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.targetScale
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalMatrix_det
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.implicitResidual_zero_slice
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.Parameters
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.exists_implicitCorrection
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalMatrix._proof_2
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalMatrix._proof_3
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalDerivative._proof_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.verticalMatrix
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem ContDiffAt.implicitFunction.congr_simp
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.targetScale._proof_2
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.signedNormal
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit definition PBCounterexample.Gram5.implicitResidual
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.normalScale_sq
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.exists_implicitCorrection._simp_1_3
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.implicitResidual_vertical_line
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.contDiff_normalScale
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalMatrix.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalMatrix._proof_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Implicit theorem PBCounterexample.Gram5.verticalMatrix._proof_4
GRAM5_PROJECT_MODULE PBCounterexample.Gram5Paths records=44
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.correction
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.tendsto_point_lambda
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.hasDerivAt_eval_point_epsilon
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.direction.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.matchedA
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.recOn
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.mk.injEq
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.point.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.point
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.direction
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths inductive PBCounterexample.Gram5.CorrectionFamily
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.equation
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.mk.inj
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.hasDerivAt_point_epsilon
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.tendsto_eval_point_epsilon
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.contDiffAt_point
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.tendsto_point_epsilon
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.regular
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.mk.sizeOf_spec
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.linearB_direction
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.tendsto_eval_point_div
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths recursor PBCounterexample.Gram5.CorrectionFamily.rec
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.direction_zero
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.direction_first
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.point_zero
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths constructor PBCounterexample.Gram5.CorrectionFamily.mk
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.matchedW
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.contDiffAt_direction
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.radius
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.mk.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.noConfusionType
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.zero_slice
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.scaledPoint
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.ctorIdx
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily._sizeOf_inst
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.linearA_direction
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.direction_zero_zero
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.radius_pos
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.casesOn
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.exists_correctionFamily
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths theorem PBCounterexample.Gram5.CorrectionFamily.matchedB
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily._sizeOf_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Paths definition PBCounterexample.Gram5.CorrectionFamily.mk._flat_ctor
GRAM5_PROJECT_MODULE PBCounterexample.Gram5LeafDecomposition records=34
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.beta
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.commonCoefficient._proof_2
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.recOn
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.gamma
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.eval_scaled
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.alpha
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.mk.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem _private.PBCounterexample.Gram5LeafDecomposition.0.PBCounterexample.Gram5.exceptional_fourteen
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition._sizeOf_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.mk.injEq
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition inductive PBCounterexample.Gram5.LeafDecomposition
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition constructor PBCounterexample.Gram5.LeafDecomposition.mk
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem _private.PBCounterexample.Gram5LeafDecomposition.0.PBCounterexample.Gram5.exceptional_fifteen
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.mk.inj
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.equality
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.component.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.component
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.mk._flat_ctor
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.noConfusionType
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.exists_leafDecomposition
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.ctorIdx
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition._sizeOf_inst
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.mk.sizeOf_spec
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.commonCoefficient
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.component_weighted
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.remainder
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.first_component_value_or_derivative
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition definition PBCounterexample.Gram5.LeafDecomposition.casesOn
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.clean
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.commonCoefficient._proof_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem PBCounterexample.Gram5.LeafDecomposition.commonCoefficient.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition theorem _private.PBCounterexample.Gram5LeafDecomposition.0.PBCounterexample.Gram5.exceptional_sixteen
GRAM5_PROJECT_DECL PBCounterexample.Gram5LeafDecomposition recursor PBCounterexample.Gram5.LeafDecomposition.rec
GRAM5_PROJECT_MODULE PBCounterexample.RadialScalar records=32
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_max
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip.eq_1
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_neg_iff._simp_1_3
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_4
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_7
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_6
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_min
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.sign_clip._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_pos_iff._simp_1_3
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_neg_iff
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.monotone_clip
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_zero
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_linear_pos
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_constant_neg
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.continuous_clip
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_pos_iff
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_eq_neg_one_of_le
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_eq_one_of_one_le
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.monotone_realSign
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_neg_iff._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_3
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_pos_iff._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_5
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.clip_eq_zero_iff
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.sign_clip._simp_1_1
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero._simp_1_1
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.sign_clip
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_linear_neg
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_low_coefficients_zero
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar theorem PBCounterexample.Radial.tendsto_clip_quadratic_of_constant_pos
GRAM5_PROJECT_DECL PBCounterexample.RadialScalar definition PBCounterexample.Radial.clip
GRAM5_PROJECT_MODULE PBCounterexample.RadialPolynomial records=24
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.radialPolynomial.eq_1
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.polynomial_eval_expand
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial definition PBCounterexample.Radial.limitingValue
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.tendsto_clip_polynomial._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.eval_homogeneous_scale
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial definition PBCounterexample.Radial.radialPolynomial
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.tendsto_clip_mvPolynomial._proof_1_1
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.limitingValue.eq_1
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.tendsto_clip_mvPolynomial._proof_1_3
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.tendsto_clip_mvPolynomial._proof_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sum_homogeneousComponent_extended._proof_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.radialPolynomial_eval
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sign_limitingValue
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial definition PBCounterexample.Radial.leafLimit
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sum_homogeneousComponent_extended
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.tendsto_clip_mvPolynomial
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sum_homogeneousComponent_extended._proof_1_4
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sum_homogeneousComponent_extended._simp_1_3
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.radialPolynomial_coeff._simp_1_2
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sum_homogeneousComponent_extended._simp_1_1
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.radialPolynomial_coeff
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.sign_limitingValue_congr
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.tendsto_clip_polynomial
GRAM5_PROJECT_DECL PBCounterexample.RadialPolynomial theorem PBCounterexample.Radial.leafLimit.eq_1
GRAM5_PROJECT_MODULE PBCounterexample.PolynomialSelection records=41
GRAM5_PROJECT_DECL PBCounterexample.PolynomialSelection theorem _private.PBCounterexample.PolynomialSelection.0.PBCounterexample.PolynomialSelection.region.match_1.eq_1
GRAM5_PROJECT_DECL PBCounterexample.PolynomialSelection theorem PBCounterexample.PolynomialSelection.polynomialCover_count
GRAM5_PROJECT_DECL PBCounterexample.PolynomialSelection definition PBCounterexample.PolynomialSelection.f
